millis,Ngon_1,Ngon_2,Ngon_3,Ngon_4,Ngon_5,X,Y,Z
92903,171,188,140,244,250,-4.67,-5.1,8.36
93003,170,186,140,241,249,-4.59,-5.06,8.47
93103,190,210,157,272,283,-4.35,-5.02,8.63
93203,190,207,154,272,281,-4.47,-4.9,8.51
93303,189,207,155,273,280,-4.79,-4.67,8.79
93403,190,204,156,272,280,-4.51,-4.39,9.38
93503,187,207,156,272,281,-4.24,-4.43,8.98
93603,188,203,153,269,278,-4.2,-4.43,8.63
93703,188,206,154,271,278,-4.35,-4.2,9.1
93803,187,203,155,270,277,-4.2,-4.12,9.45
93903,185,203,160,269,276,-4.16,-4.55,9.06
94003,185,203,153,270,275,-3.53,-4.39,8.87
94103,185,202,153,270,277,-3.84,-4.24,9.06
94203,184,195,152,269,276,-3.8,-4.55,9.18
94303,185,202,153,269,270,-3.88,-4.39,9.34
94403,185,202,153,269,275,-3.88,-4.39,9.26
94503,184,201,152,269,276,-3.73,-4.47,9.34
94603,185,202,152,269,275,-3.57,-4.43,8.94
94703,184,202,153,269,275,-3.8,-4.55,9.38
94803,183,203,152,270,276,-3.84,-4.43,9.34
94903,184,203,153,269,275,-3.8,-4.35,9.3
95003,184,203,152,270,275,-3.69,-4.51,9.34
95104,186,203,153,269,276,-3.69,-4.55,9.34
95203,183,202,154,269,276,-3.69,-4.51,9.38
95303,184,203,152,269,277,-3.37,-4.08,9.3
95404,183,202,151,269,277,-3.69,-4.39,9.41
95503,186,199,152,271,275,-3.69,-4.35,9.49
95603,185,204,153,269,276,-3.57,-4.12,9.38
95803,184,201,151,267,273,-3.41,-3.8,10
95903,183,201,151,265,271,-3.41,-3.88,9.53
96003,182,203,152,267,273,-3.53,-4,9.34
96103,180,201,151,266,271,-3.57,-4,9.77
96203,186,202,152,268,274,-3.41,-4.04,9.61
96303,185,203,152,267,274,-3.49,-3.8,9.73
96403,185,205,152,266,272,-3.65,-3.69,10
96503,183,198,149,260,267,-3.53,-3.57,9.85
96603,182,198,150,262,269,-3.53,-3.8,9.57
96703,189,204,153,269,276,-3.37,-3.8,9.57
96803,180,195,148,257,265,-3.37,-3.73,9.65
96903,181,196,147,258,264,-3.57,-3.69,9.81
97003,187,204,152,266,273,-3.49,-3.65,9.89
97103,179,198,148,257,262,-3.41,-3.92,9.41
97203,185,200,151,263,268,-3.45,-3.69,10
97303,182,197,148,261,265,-3.49,-3.65,9.96
97403,186,202,152,266,269,-3.37,-3.61,9.53
97503,181,196,150,261,268,-3.33,-3.8,9.73
97603,188,205,152,268,274,-3.26,-3.88,9.73
97703,183,197,150,264,271,-3.37,-3.77,9.41
97803,182,198,149,263,268,-3.41,-3.73,9.57
97903,182,201,149,262,270,-3.41,-3.69,9.45
98003,177,194,145,256,260,-3.26,-3.84,9.73
98103,178,196,147,258,268,-3.61,-3.77,9.89
98203,175,192,145,255,256,-3.45,-3.57,9.57
98304,173,189,141,250,257,-3.53,-3.69,9.61
98403,173,191,143,253,259,-3.57,-3.92,9.53
98503,172,188,142,250,256,-3.53,-3.61,9.81
98604,176,195,146,258,264,-3.65,-3.65,9.61
98703,170,186,141,246,253,-3.45,-3.57,9.69
98803,172,187,142,249,255,-3.65,-3.61,9.92
99003,186,205,154,270,277,-3.49,-3.65,9.45
99103,186,204,153,270,277,-3.61,-3.61,9.85
99203,183,201,151,266,270,-3.45,-3.88,9.69
99303,182,199,149,267,269,-3.49,-3.61,9.92
99403,179,193,149,260,266,-3.45,-4.04,9.96
99503,178,197,146,260,270,-3.84,-3.73,10
99603,188,204,157,270,277,-3.73,-3.61,10.16
99703,171,188,140,249,255,-3.45,-3.61,9.53
99803,182,199,150,264,270,-3.41,-3.8,9.73
99903,185,204,153,266,274,-3.33,-3.8,9.89
100003,183,200,150,265,270,-3.37,-3.77,10.04
100103,179,198,147,260,266,-3.22,-3.77,9.53
100203,172,188,142,251,257,-3.3,-3.65,9.85
100303,184,201,151,265,272,-3.02,-3.69,9.61
100403,189,202,155,271,278,-3.18,-3.65,9.96
100503,189,208,154,273,279,-3.53,-3.57,9.81
